Conakry,Luanda,3613
Conakry,Porto-Novo,1824
Conakry,Gaborone,5734
Conakry,Ouagadougou,1363
Conakry,Bujumbura,4980
Conakry,Yaoundé,2852
Conakry,Praia,1224
Conakry,Bangui,3602
Conakry,N'Djamena,3148
Conakry,Moroni,6722
Conakry,Kinshasa,3563
Conakry,Djibouti,6206
Conakry,Cairo,5180
Conakry,Malabo,2562
Conakry,Asmara,5736
Conakry,Addis Ababa,5748
Conakry,Libreville,2754
Conakry,Banjul,537
Conakry,Accra,1550
Bissau,Algiers,3336
Bissau,Luanda,3931
Bissau,Porto-Novo,2084
Bissau,Gaborone,6063
Bissau,Ouagadougou,1531
Bissau,Bujumbura,5251
Bissau,Yaoundé,3114
Bissau,Praia,921
Bissau,Bangui,3847
Bissau,N'Djamena,3331
Bissau,Moroni,7006
Bissau,Kinshasa,3862
Bissau,Djibouti,6384
Bissau,Cairo,5224
Bissau,Malabo,2831
Bissau,Asmara,5892
Bissau,Addis Ababa,5943
Bissau,Libreville,3044
Bissau,Banjul,206
Bissau,Accra,1831
Bissau,Conakry,332
Yamoussoukro,Algiers,3433
Yamoussoukro,Luanda,2691
Yamoussoukro,Porto-Novo,871
Yamoussoukro,Gaborone,4864
Yamoussoukro,Ouagadougou,741
Yamoussoukro,Bujumbura,4009
Yamoussoukro,Yaoundé,1888
Yamoussoukro,Praia,2183
Yamoussoukro,Bangui,2651
Yamoussoukro,N'Djamena,2304
Yamoussoukro,Moroni,5750
Yamoussoukro,Kinshasa,2599
Yamoussoukro,Djibouti,5336
Yamoussoukro,Cairo,4604
Yamoussoukro,Malabo,1594
Yamoussoukro,Asmara,4907
Yamoussoukro,Addis Ababa,4853
Yamoussoukro,Libreville,1783
Yamoussoukro,Banjul,1439
Yamoussoukro,Accra,579
Yamoussoukro,Conakry,973
Yamoussoukro,Bissau,1263
Nairobi,Algiers,5479
Nairobi,Luanda,2743
Nairobi,Porto-Novo,3895
Nairobi,Gaborone,2851
Nairobi,Ouagadougou,4497
Nairobi,Bujumbura,861
Nairobi,Yaoundé,2869
Nairobi,Praia,6873
Nairobi,Bangui,2125
Nairobi,N'Djamena,2829
Nairobi,Moroni,1359
Nairobi,Kinshasa,2412
Nairobi,Djibouti,1593
Nairobi,Cairo,3535
Nairobi,Malabo,3166
Nairobi,Asmara,1861
Nairobi,Addis Ababa,1165
Nairobi,Libreville,3049
Nairobi,Banjul,6108
Nairobi,Accra,4181
Nairobi,Conakry,5719
Nairobi,Bissau,5970
Nairobi,Yamoussoukro,4758
Maseru,Algiers,7777
Maseru,Luanda,2719
Maseru,Porto-Novo,4790
Maseru,Gaborone,542
Maseru,Ouagadougou,5584
Maseru,Bujumbura,2891
Maseru,Yaoundé,4064
Maseru,Praia,7357
Maseru,Bangui,3864
Maseru,N'Djamena,4796
Maseru,Moroni,2551
Maseru,Kinshasa,3061
Maseru,Djibouti,4850
Maseru,Cairo,6615
Maseru,Malabo,4183
Maseru,Asmara,5115
Maseru,Addis Ababa,4431
Maseru,Libreville,3818
Maseru,Banjul,6705
Maseru,Accra,4877
Maseru,Conakry,6173
Maseru,Bissau,6504
Maseru,Yamoussoukro,5331
Maseru,Nairobi,3271
Monrovia,Algiers,3666
Monrovia,Luanda,3151
Monrovia,Porto-Novo,1481
Monrovia,Gaborone,5257
Monrovia,Ouagadougou,1220
Monrovia,Bujumbura,4587
Monrovia,Yaoundé,2487
Monrovia,Praia,1687
Monrovia,Bangui,3256
Monrovia,N'Djamena,2907
Monrovia,Moroni,6305
Monrovia,Kinshasa,3130
Monrovia,Djibouti,5947
Monrovia,Cairo,5123
Monrovia,Malabo,2187
Monrovia,Asmara,5511
Monrovia,Addis Ababa,5465
Monrovia,Libreville,2341
Monrovia,Banjul,1016
Monrovia,Accra,1175
Monrovia,Conakry,480
Monrovia,Bissau,812
Monrovia,Yamoussoukro,613
Monrovia,Nairobi,5353
Monrovia,Maseru,5693
Tripoli,Algiers,1021
Tripoli,Luanda,4639
Tripoli,Porto-Novo,3131
Tripoli,Gaborone,6538
Tripoli,Ouagadougou,2728
Tripoli,Bujumbura,4377
Tripoli,Yaoundé,3230
Tripoli,Praia,4200
Tripoli,Bangui,3220
Tripoli,N'Djamena,2317
Tripoli,Moroni,5895
Tripoli,Kinshasa,4142
Tripoli,Djibouti,3862
Tripoli,Cairo,1739
Tripoli,Malabo,3271
Tripoli,Asmara,3245
Tripoli,Addis Ababa,3731
Tripoli,Libreville,3634
Tripoli,Banjul,3709
Tripoli,Accra,3340
Tripoli,Conakry,3784
Tripoli,Bissau,3748
Tripoli,Yamoussoukro,3469
Tripoli,Nairobi,4536
Tripoli,Maseru,7078
Tripoli,Monrovia,3858
Antananarivo,Algiers,7752
Antananarivo,Luanda,3861
Antananarivo,Porto-Novo,5676
Antananarivo,Gaborone,2320
Antananarivo,Ouagadougou,6404
Antananarivo,Bujumbura,2624
Antananarivo,Yaoundé,4685
Antananarivo,Praia,8638
Antananarivo,Bangui,4095
Antananarivo,N'Djamena,4958
Antananarivo,Moroni,924
Antananarivo,Kinshasa,3856
Antananarivo,Djibouti,3425
Antananarivo,Cairo,5718
Antananarivo,Malabo,4933
Antananarivo,Asmara,3922
Antananarivo,Addis Ababa,3252
Antananarivo,Libreville,4678
Antananarivo,Banjul,7890
Antananarivo,Accra,5893
Antananarivo,Conakry,7417
Antananarivo,Bissau,7718
Antananarivo,Yamoussoukro,6455
Antananarivo,Nairobi,2282
Antananarivo,Maseru,2337
Antananarivo,Monrovia,6977
Antananarivo,Tripoli,6818
Lilongwe,Algiers,6495
Lilongwe,Luanda,2311
Lilongwe,Porto-Novo,4126
Lilongwe,Gaborone,1446
Lilongwe,Ouagadougou,4871
Lilongwe,Bujumbura,1274
Lilongwe,Yaoundé,3157
Lilongwe,Praia,7074
Lilongwe,Bangui,2642
Lilongwe,N'Djamena,3561
Lilongwe,Moroni,1057
Lilongwe,Kinshasa,2293
Lilongwe,Djibouti,3024
Lilongwe,Cairo,4903
Lilongwe,Malabo,3390
Lilongwe,Asmara,3307
Lilongwe,Addis Ababa,2614
Lilongwe,Libreville,3119
Lilongwe,Banjul,6329
Lilongwe,Accra,4334
Lilongwe,Conakry,5853
Lilongwe,Bissau,6155
Lilongwe,Yamoussoukro,4892
Lilongwe,Nairobi,1450
Lilongwe,Maseru,1826
Lilongwe,Monrovia,5412
Lilongwe,Tripoli,5651
Lilongwe,Antananarivo,1565
Bamako,Algiers,2897
Bamako,Luanda,3348
Bamako,Porto-Novo,1348
Bamako,Gaborone,5544
Bamako,Ouagadougou,703
Bamako,Bujumbura,4495
Bamako,Yaoundé,2357
Bamako,Praia,1694
Bamako,Bangui,3059
Bamako,N'Djamena,2502
Bamako,Moroni,6271
Bamako,Kinshasa,3193
Bamako,Djibouti,5553
Bamako,Cairo,4471
Bamako,Malabo,2093
Bamako,Asmara,5063
Bamako,Addis Ababa,5115
Bamako,Libreville,2358
Bamako,Banjul,934
Bamako,Accra,1164
Bamako,Conakry,710
